2025-07-08 15:49:12 INFO:Scan avviata su 127.0.0.1 da porta 20 a 1024, UDP: True
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 180: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 181: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 182: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 183: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 184: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 185: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 186: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 187: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 188: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 189: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,755 - ERROR - Error scanning UDP port 190: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,767 - ERROR - Error scanning UDP port 191: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,767 - ERROR - Error scanning UDP port 192: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,768 - ERROR - Error scanning UDP port 193: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,768 - ERROR - Error scanning UDP port 194: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,768 - ERROR - Error scanning UDP port 195: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,768 - ERROR - Error scanning UDP port 196: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,769 - ERROR - Error scanning UDP port 197: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,769 - ERROR - Error scanning UDP port 198: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,769 - ERROR - Error scanning UDP port 199: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,770 - ERROR - Error scanning UDP port 200: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,770 - ERROR - Error scanning UDP port 201: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,770 - ERROR - Error scanning UDP port 202: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,770 - ERROR - Error scanning UDP port 203: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:19:00,771 - ERROR - Error scanning UDP port 204: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
